fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-01-08,WN,WN,WN,1926,WN,N8696E,1926,10792,BUF,"Buffalo, NY",14107,PHX,"Phoenix, AZ",800,802,2,9,811,1045,3,1110,1048,-22,0,,0,N,310,286,274,1,1912,,,,,,,,,
2019-01-08,WN,WN,WN,100,WN,N432WN,100,10792,BUF,"Buffalo, NY",15304,TPA,"Tampa, FL",555,550,-5,11,601,825,4,850,829,-21,0,,0,N,175,159,144,1,1053,,,,,,,,,
2019-01-08,WN,WN,WN,396,WN,N8659D,396,10792,BUF,"Buffalo, NY",15304,TPA,"Tampa, FL",1800,1800,0,8,1808,2034,4,2045,2038,-7,0,,0,N,165,158,146,1,1053,,,,,,,,,
2019-01-08,WN,WN,WN,490,WN,N8724J,490,10800,BUR,"Burbank, CA",11259,DAL,"Dallas, TX",700,701,1,10,711,1144,5,1205,1149,-16,0,,0,N,185,168,153,1,1243,,,,,,,,,
2019-01-08,WN,WN,WN,472,WN,N7858A,472,10800,BUR,"Burbank, CA",11292,DEN,"Denver, CO",1215,1213,-2,16,1229,1513,4,1525,1517,-8,0,,0,N,130,124,104,1,850,,,,,,,,,
2019-01-08,WN,WN,WN,516,WN,N430WN,516,10800,BUR,"Burbank, CA",11292,DEN,"Denver, CO",710,710,0,20,730,1016,6,1025,1022,-3,0,,0,N,135,132,106,1,850,,,,,,,,,
2019-01-08,WN,WN,WN,2233,WN,N8566Z,2233,10800,BUR,"Burbank, CA",12191,HOU,"Houston, TX",1305,1300,-5,8,1308,1752,6,1815,1758,-17,0,,0,N,190,178,164,1,1389,,,,,,,,,
2019-01-08,WN,WN,WN,153,WN,N412WN,153,10800,BUR,"Burbank, CA",12889,LAS,"Las Vegas, NV",1125,1124,-1,25,1149,1232,4,1230,1236,6,0,,0,N,65,72,43,1,223,,,,,,,,,
2019-01-08,WN,WN,WN,774,WN,N481WN,774,10800,BUR,"Burbank, CA",12889,LAS,"Las Vegas, NV",1955,1950,-5,14,2004,2045,6,2100,2051,-9,0,,0,N,65,61,41,1,223,,,,,,,,,
2019-01-08,WN,WN,WN,856,WN,N7705A,856,10800,BUR,"Burbank, CA",12889,LAS,"Las Vegas, NV",1815,1812,-3,8,1820,1906,4,1915,1910,-5,0,,0,N,60,58,46,1,223,,,,,,,,,
2019-01-08,WN,WN,WN,973,WN,N561WN,973,10800,BUR,"Burbank, CA",12889,LAS,"Las Vegas, NV",805,808,3,15,823,910,3,915,913,-2,0,,0,N,70,65,47,1,223,,,,,,,,,
2019-01-08,WN,WN,WN,1587,WN,N745SW,1587,10800,BUR,"Burbank, CA",12889,LAS,"Las Vegas, NV",1550,1646,56,9,1655,1739,4,1655,1743,48,0,,0,N,65,57,44,1,223,7,0,0,0,41,,,,
2019-01-08,WN,WN,WN,1882,WN,N276WN,1882,10800,BUR,"Burbank, CA",12889,LAS,"Las Vegas, NV",1425,1431,6,12,1443,1525,5,1525,1530,5,0,,0,N,60,59,42,1,223,,,,,,,,,
2019-01-08,WN,WN,WN,2158,WN,N469WN,2158,10800,BUR,"Burbank, CA",12889,LAS,"Las Vegas, NV",1720,1720,0,10,1730,1814,4,1825,1818,-7,0,,0,N,65,58,44,1,223,,,,,,,,,
2019-01-08,WN,WN,WN,330,WN,N905WN,330,10821,BWI,"Baltimore, MD",10529,BDL,"Hartford, CT",625,621,-4,14,635,723,5,740,728,-12,0,,0,N,75,67,48,1,283,,,,,,,,,
2019-01-08,WN,WN,WN,1277,WN,N272WN,1277,10821,BWI,"Baltimore, MD",10529,BDL,"Hartford, CT",1510,1509,-1,10,1519,1610,3,1615,1613,-2,0,,0,N,65,64,51,1,283,,,,,,,,,
2019-01-08,WN,WN,WN,1429,WN,N7747C,1429,10821,BWI,"Baltimore, MD",10529,BDL,"Hartford, CT",1945,2000,15,11,2011,2059,4,2055,2103,8,0,,0,N,70,63,48,1,283,,,,,,,,,
2019-01-08,WN,WN,WN,1493,WN,N436WN,1493,10821,BWI,"Baltimore, MD",10529,BDL,"Hartford, CT",2150,2147,-3,11,2158,2247,6,2305,2253,-12,0,,0,N,75,66,49,1,283,,,,,,,,,
